rom_wrong_name;rom_official_name;alt_rom_official_name
Champion Edition (USA 920803);sf2ceuc;'Street Fighter II'''
The World Warrior (World 910204);sf2ea;Street Fighter II
The World Warrior (World 910214);sf2eb;Street Fighter II
The World Warrior (World 910318);sf2ed;Street Fighter II
The World Warrior (World 910228);sf2ee;Street Fighter II
The World Warrior (World 910411);sf2ef;Street Fighter II
The World Warrior (World 910129);sf2em;Street Fighter II
The World Warrior (World 910204, conversion);sf2en;Street Fighter II
Hyper Fighting (World 921209);sf2hf;'Street Fighter II'''
Hyper Fighting (Japan 921209);sf2hfj;'Street Fighter II'' Turbo'
Hyper Fighting (USA 921209);sf2hfu;'Street Fighter II'''
The World Warrior (Japan 911210, CPS-B-13);sf2j;Street Fighter II
The World Warrior (Japan 911210, CPS-B-17);sf2j17;Street Fighter II
The World Warrior (Japan 910214);sf2ja;Street Fighter II
The World Warrior (Japan 910306);sf2jc;Street Fighter II
The World Warrior (Japan 910411);sf2jf;Street Fighter II
The World Warrior (Japan 910522);sf2jh;Street Fighter II
The World Warrior (Japan 920312);sf2jl;Street Fighter II
The World Warrior (USA 910206);sf2ua;Street Fighter II
The World Warrior (USA 910214);sf2ub;Street Fighter II
